评论,时间,颜色,尺码,
外观颜值：很不错，颜值很高。,2020-05-14 14:32:58,黑色,41,
外观颜值：简约时尚，颜值高,2020-05-11 12:40:34,黑色,41,
舒适度：很好，很轻便，不挤脚,2020-04-25 13:41:45,黑色,41,
总体来说不错，就是刚打开的时候味道有点呛，通风过之后就没了,2020-04-28 15:38:31,黑色,41,
鞋子样式不错，就是鞋底太硬了&hellip;&hellip;,2020-04-09 14:06:30,灰色,41,
还行，就是有一股味道。,2020-04-11 12:06:14,黑色,41,
给好评已经成为一种习惯,2020-04-25 18:37:20,灰色,41,
非常喜欢，质量看起来很好,2020-04-09 18:18:14,黑色,41,
"舒适度：高
外观颜值：高",2020-04-24 13:50:47,黑色,41,
材质手感：还行吧,2020-04-10 12:56:15,黑色,41,
还行吧，就是物流有点慢！,2020-04-13 16:52:28,黑色,41,
鞋底有点硬,2020-05-06 19:46:01,黑色,41,
,,,,
